Temperature,Simulations,Return,Discounted Return
1,74,1.0,0.985089730404757
1,80,1.0,0.9588092525966956
1,23,1.0,0.857932408958235
1,20,1.0,0.8502341582884777
1,85,1.0,0.9588092525966956
1,29,1.0,0.8814479033836181
1,13,1.0,0.8657003616774767
1,66,1.0,0.9304302024748964
1,34,1.0,0.9416796087056153
1,48,1.0,0.9733217421754432
1,76,1.0,0.9473552137914398
1,27,1.0,0.9645880999032158
1,69,1.0,0.9616943356035061
1,66,1.0,0.9704017769489168
1,59,1.0,0.9616943356035061
1,32,0.0,0.0
1,58,1.0,0.9416796087056153
1,84,1.0,0.9704017769489168
1,77,1.0,0.9733217421754432
1,72,1.0,0.9821344612135428
1,66,1.0,0.9762504936564125
1,12,1.0,0.9332298921513504
1,92,1.0,0.9559328248389055
1,93,1.0,0.9762504936564125
1,99,1.0,0.9704017769489168
1,90,1.0,0.9821344612135428
1,1,0.0,0.0
1,92,1.0,0.9616943356035061
1,59,1.0,0.985089730404757
1,98,1.0,0.9704017769489168
1,27,1.0,0.93603800616986
