Temperature,Simulations,Initial State,Return,Discounted Return
1,36,14,1.0,1.0
1,30,0,1.0,0.9220814271464737
1,74,10,1.0,0.997
1,55,3,1.0,0.9530650263643888
1,55,13,1.0,0.997
1,47,14,1.0,1.0
1,47,6,1.0,0.93603800616986
1,80,10,1.0,0.997
1,91,0,1.0,0.9733217421754432
1,64,9,1.0,0.994009
1,96,4,1.0,0.9674905716180701
1,16,3,1.0,0.8761671489944468
1,93,9,1.0,0.994009
1,66,1,1.0,0.9416796087056153
1,2,1,0.0,0.0
1,17,8,0.0,0.0
1,50,9,1.0,0.994009
1,92,14,1.0,1.0
1,51,13,1.0,0.997
1,9,6,1.0,0.8054737627981655
