Temperature,Simulations,Initial State,Return,Discounted Return
1,17,3,1.0,0.8502341582884777
1,43,1,1.0,0.9083329444789534
1,87,13,1.0,0.997
1,53,4,1.0,0.988053892081
1,53,1,1.0,0.9674905716180701
1,39,0,1.0,0.8657003616774767
1,1,1,0.0,0.0
1,96,6,1.0,0.994009
1,69,13,1.0,0.997
1,7,3,0.0,0.0
1,61,13,1.0,0.997
1,3,0,1.0,0.9588092525966956
1,77,9,1.0,0.994009
1,62,0,1.0,0.985089730404757
1,34,10,1.0,0.997
1,8,8,0.0,0.0
1,94,0,1.0,0.93603800616986
1,90,4,1.0,0.988053892081
1,42,2,1.0,0.8761671489944468
1,43,13,1.0,0.997
1,13,10,1.0,0.997
1,55,2,1.0,0.837556937769312
1,37,10,1.0,0.997
1,94,3,1.0,0.9388545698794984
1,22,2,1.0,0.985089730404757
1,90,10,1.0,0.997
1,32,0,1.0,0.9559328248389055
1,72,4,1.0,0.9674905716180701
1,88,14,1.0,1.0
1,78,4,1.0,0.9733217421754432
1,59,2,1.0,0.991026973
1,99,0,1.0,0.9416796087056153
1,35,9,1.0,0.994009
1,95,13,1.0,0.997
1,93,9,1.0,0.994009
1,63,3,1.0,0.9001824484431542
1,10,1,1.0,0.8275513922024125
1,10,1,1.0,0.9674905716180701
1,70,8,1.0,0.991026973
1,80,10,1.0,0.997
1,75,13,1.0,0.997
1,76,9,1.0,0.994009
1,8,1,0.0,0.0
1,94,8,1.0,0.991026973
1,100,6,1.0,0.994009
1,95,10,1.0,0.997
1,80,8,1.0,0.991026973
1,24,0,1.0,0.9416796087056153
1,9,3,1.0,0.9559328248389055
1,79,3,1.0,0.988053892081
1,24,1,1.0,0.9165572373164391
1,34,3,1.0,0.9220814271464737
1,46,9,1.0,0.994009
1,7,14,1.0,1.0
1,4,6,0.0,0.0
1,16,1,0.0,0.0
1,58,14,1.0,1.0
1,38,14,1.0,1.0
1,4,9,0.0,0.0
1,32,0,1.0,0.9588092525966956
1,16,0,0.0,0.0
1,72,14,1.0,1.0
1,84,14,1.0,1.0
1,69,3,1.0,0.988053892081
1,29,14,1.0,1.0
1,99,2,1.0,0.991026973
1,37,6,1.0,0.988053892081
1,75,10,1.0,0.997
1,67,1,1.0,0.9821344612135428
1,53,14,1.0,1.0
1,36,3,1.0,0.9704017769489168
1,86,8,1.0,0.991026973
1,85,1,1.0,0.9821344612135428
1,85,9,1.0,0.994009
1,44,9,1.0,0.994009
1,35,13,1.0,0.997
1,99,14,1.0,1.0
1,22,13,1.0,0.997
1,81,4,1.0,0.988053892081
1,89,4,1.0,0.9821344612135428
1,49,8,1.0,0.991026973
1,53,8,1.0,0.991026973
1,90,13,1.0,0.997
1,68,4,1.0,0.9056079456455165
1,31,8,1.0,0.991026973
1,80,6,1.0,0.994009
1,41,1,1.0,0.9704017769489168
1,34,2,1.0,0.9733217421754432
1,27,9,1.0,0.994009
1,70,1,1.0,0.9762504936564125
1,78,14,1.0,1.0
1,85,8,1.0,0.988053892081
1,60,8,1.0,0.991026973
1,84,6,1.0,0.994009
1,43,4,1.0,0.988053892081
